Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,6.4e-05,
Filter Frequency,7e+07,
Record Length,3124,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.1
Label,,
TIME,CH1,CH2
-6.3224e-02,2.24125,0.194031
-6.3160e-02,2.17094,0.192469
-6.3096e-02,2.09734,0.192313
-6.3032e-02,2.02828,0.190203
-6.2968e-02,1.96125,0.186906
-6.2904e-02,1.89188,0.186047
-6.2840e-02,1.835,0.184609
-6.2776e-02,1.76469,0.182469
-6.2712e-02,1.71359,0.179734
-6.2648e-02,1.64875,0.180297
-6.2584e-02,1.5875,0.176031
-6.2520e-02,1.52359,0.174688
-6.2456e-02,1.46938,0.171688
-6.2392e-02,1.40781,0.169781
-6.2328e-02,1.35641,0.167438
-6.2264e-02,1.30469,0.164328
-6.2200e-02,1.24828,0.163172
-6.2136e-02,1.19594,0.159922
-6.2072e-02,1.14156,0.157563
-6.2008e-02,1.08609,0.155438
-6.1944e-02,1.04203,0.152563
-6.1880e-02,0.9975,0.150016
-6.1816e-02,0.950156,0.147359
-6.1752e-02,0.904844,0.143531
-6.1688e-02,0.854219,0.141469
-6.1624e-02,0.810313,0.138172
-6.1560e-02,0.76125,0.136125
-6.1496e-02,0.720938,0.131375
-6.1432e-02,0.680625,0.129516
-6.1368e-02,0.638906,0.126578
-6.1304e-02,0.597813,0.122797
-6.1240e-02,0.555313,0.118938
-6.1176e-02,0.515469,0.117031
-6.1112e-02,0.478906,0.112797
-6.1048e-02,0.44125,0.110125
-6.0984e-02,0.398281,0.107031
-6.0920e-02,0.365938,0.10175
-6.0856e-02,0.326094,0.100563
-6.0792e-02,0.285469,0.0954219
-6.0728e-02,0.253438,0.0930938
-6.0664e-02,0.227031,0.0889219
-6.0600e-02,0.192031,0.0850625
-6.0536e-02,0.160938,0.0810313
-6.0472e-02,0.123281,0.0763281
